golden_id,true_intent,true_escalate,pipeline_intent,pipeline_confidence,reply_draft,pipeline_grounded,pipeline_decision,pipeline_reason,pipeline_grounding_overlap,trivial_intent,trivial_reply,trivial_decision,trivial_reason,trivial_grounding_overlap,simple_intent,simple_reply,simple_decision,simple_reason,simple_grounding_overlap,customer_text,human_overall
g0201,complaint_negative_other,True,complaint_negative_other,0.95,We apologize for the frustration with the lack of continuity. Could you please share more details about your issue so we can look into this further? ^CR,True,True,no sufficiently similar historical resolution found (best similarity 0.44) — drafted reply isn't grounded,0.3333333333333333,order_status_delivery,Thanks for reaching out — we're looking into this and will follow up with an update shortly.,False,trivial baseline never escalates,0.0,order_status_delivery,Sorry for the delay! Could you share your order ID so we can check the latest tracking status?,True,classifier confidence 0.28 below threshold 0.5,0.0,I’ve gone through the entire scenario so many times with so many different people it is ridiculous that there is no continuity of process.,3
g0213,order_status_delivery,True,order_status_delivery,0.95,"Please don't provide your order details, we consider it to be personal information. Our page is visible to the public. Please reach out to us here: and we'll check this for you. ^KA",True,False,"high classifier confidence (0.95), grounded reply (similarity 0.74), no anger markers",0.5833333333333334,order_status_delivery,Thanks for reaching out — we're looking into this and will follow up with an update shortly.,False,trivial baseline never escalates,0.0,refund_return_cancellation,We can help with that. Please share your order ID so we can start the refund/return process.,False,classifier confidence 0.68 met threshold,0.0,can you help me with the order #406-9837623-9502709. In Amazon account reflects order was active . But got Msg order cancelled.,5
g0138,refund_return_cancellation,False,refund_return_cancellation,0.99,You can review and manage your free trial settings by visiting Your Memberships and Subscriptions here: ^SK,True,False,"high classifier confidence (0.99), grounded reply (similarity 0.61), no anger markers",0.2083333333333333,order_status_delivery,Thanks for reaching out — we're looking into this and will follow up with an update shortly.,False,trivial baseline never escalates,0.0,refund_return_cancellation,We can help with that. Please share your order ID so we can start the refund/return process.,False,classifier confidence 0.60 met threshold,0.0,can you send me a link to cancel my free trial?,5
g0177,order_status_delivery,True,order_status_delivery,0.9,Could you please share your order ID and the email address associated with your account so we can check on this for you? ^HK,True,False,"high classifier confidence (0.90), grounded reply (similarity 0.56), no anger markers",0.4,order_status_delivery,Thanks for reaching out — we're looking into this and will follow up with an update shortly.,False,trivial baseline never escalates,0.0,order_status_delivery,Sorry for the delay! Could you share your order ID so we can check the latest tracking status?,True,classifier confidence 0.37 below threshold 0.5,0.0,"I raised this on 10th oct through an email, does it take this long for a solution, i need my phone pls, damn its a birthday gift for someone",5
g0015,app_website_technical,False,app_website_technical,0.95,I'm sorry for the trouble with the app. Please reach out to us here so we can take a closer look: ^RS,True,False,"high classifier confidence (0.95), grounded reply (similarity 0.66), no anger markers",0.4444444444444444,order_status_delivery,Thanks for reaching out — we're looking into this and will follow up with an update shortly.,False,trivial baseline never escalates,0.0,app_website_technical,Sorry about that! Could you share your device/browser and what happens when the issue occurs?,False,classifier confidence 0.72 met threshold,0.0,"Hi, keep getting an error after entering my password on app (something went wrong...) and unable to place orders as well (see video). Any ideas?",3
g0111,product_quality_defect,False,product_quality_defect,0.85,We want to make sure that you receive assistance with this order. Please reach out to us here at your convenience: ^SE,True,False,"high classifier confidence (0.85), grounded reply (similarity 0.55), no anger markers",1.0,order_status_delivery,Thanks for reaching out — we're looking into this and will follow up with an update shortly.,False,trivial baseline never escalates,0.0,order_status_delivery,Sorry for the delay! Could you share your order ID so we can check the latest tracking status?,True,classifier confidence 0.45 below threshold 0.5,0.0,It does not look like anything is broken however I did not receive the inside packing list,4
g0182,account_security,True,account_security,0.95,We'd like to help! Please reach out to us here: so we can look into this with you. ^ZW,True,True,intent 'account_security' involves money or account security — always routed to a human regardless of confidence,1.0,order_status_delivery,Thanks for reaching out — we're looking into this and will follow up with an update shortly.,False,trivial baseline never escalates,0.0,account_security,"For your security, please don't share account details here — contact us via the link in our bio to secure your account.",True,intent 'account_security' is always escalated regardless of confidence,0.0,I can’t get info my account and it won’t let me access the customer support page unless I sign in. How do I contact you,1
g0073,billing_payment_issue,True,billing_payment_issue,1.0,Please don’t provide your details as we consider them to be personal information. Our Twitter page is public. ^SA,True,True,intent 'billing_payment_issue' involves money or account security — always routed to a human regardless of confidence,0.95,order_status_delivery,Thanks for reaching out — we're looking into this and will follow up with an update shortly.,False,trivial baseline never escalates,0.0,order_status_delivery,Sorry for the delay! Could you share your order ID so we can check the latest tracking status?,False,classifier confidence 0.53 met threshold,0.0,406-5251809-1751532 why charges for amazon pantry when the order is above 1k,5
g0205,refund_return_cancellation,False,refund_return_cancellation,0.95,I'd like to check on the status of your return. Could you please share the order details with us via DM? ^AK,True,False,"high classifier confidence (0.95), grounded reply (similarity 0.64), no anger markers",0.3684210526315789,order_status_delivery,Thanks for reaching out — we're looking into this and will follow up with an update shortly.,False,trivial baseline never escalates,0.0,order_status_delivery,Sorry for the delay! Could you share your order ID so we can check the latest tracking status?,True,classifier confidence 0.34 below threshold 0.5,0.0,"I am returning an order and have my proof from the post office, but not had a confirmation from you yet. Posted it Saturday. Thanks",5
g0139,product_quality_defect,True,billing_payment_issue,0.85,We understand your concern regarding the MRP shown on the product and the website. Please share the order details via DM so we can check this for you. ^MK,True,True,intent 'billing_payment_issue' involves money or account security — always routed to a human regardless of confidence,0.2631578947368421,order_status_delivery,Thanks for reaching out — we're looking into this and will follow up with an update shortly.,False,trivial baseline never escalates,0.0,billing_payment_issue,Sorry about the charge confusion — please share your order ID so we can review the billing details.,True,intent 'billing_payment_issue' is always escalated regardless of confidence,0.0,I guess you didn't get it right. I wanted to show you the MRP written on the product label and the MRP mentioned on your page.,5
g0159,app_website_technical,False,app_website_technical,0.95,"I'm sorry for the trouble you had canceling your order through the mobile version. So we can look into this, please reach out to us here: ^RA",True,False,"high classifier confidence (0.95), grounded reply (similarity 0.64), no anger markers",0.625,order_status_delivery,Thanks for reaching out — we're looking into this and will follow up with an update shortly.,False,trivial baseline never escalates,0.0,refund_return_cancellation,We can help with that. Please share your order ID so we can start the refund/return process.,False,classifier confidence 0.54 met threshold,0.0,Looks like the mobile version would not cancel my order. I loaded a desktop view and that worked just fine. I tried the mobile a few times,5
g0030,complaint_negative_other,True,complaint_negative_other,0.9,"I understand your frustration. For security reasons, we are unable to access your details from here. Please reach out to us via the link we've previously shared so we can assist you further. ^HN",True,True,message contains strong negative-sentiment language — routed to a human to de-escalate,0.6190476190476191,order_status_delivery,Thanks for reaching out — we're looking into this and will follow up with an update shortly.,False,trivial baseline never escalates,0.0,order_status_delivery,Sorry for the delay! Could you share your order ID so we can check the latest tracking status?,True,classifier confidence 0.39 below threshold 0.5,0.0,My problems have been well documented&amp;you should be able to see the notes. It is ridiculous that I have to contact you again!,2
g0190,general_inquiry,False,general_inquiry,0.85,Please don’t provide your account details as it is personal information. Our Twitter page is visible to the public. ^MS,True,False,"high classifier confidence (0.85), grounded reply (similarity 0.67), no anger markers",1.0,order_status_delivery,Thanks for reaching out — we're looking into this and will follow up with an update shortly.,False,trivial baseline never escalates,0.0,account_security,"For your security, please don't share account details here — contact us via the link in our bio to secure your account.",True,intent 'account_security' is always escalated regardless of confidence,0.0,I never submitted my email id i login through my phone number,5
g0009,compliment_positive_feedback,False,compliment_positive_feedback,0.99,Glad to hear it's sorted. Reach out again if anything else comes up. ^MK,True,False,"high classifier confidence (0.99), grounded reply (similarity 0.57), no anger markers",0.2,order_status_delivery,Thanks for reaching out — we're looking into this and will follow up with an update shortly.,False,trivial baseline never escalates,0.0,compliment_positive_feedback,Thank you so much for the kind words — we'll pass it along to the team!,False,classifier confidence 0.92 met threshold,0.0,Thank you - now sorted with an email. #HappyCustomer,5
g0067,app_website_technical,False,app_website_technical,0.95,Sorry about that. I understand your concern. Could you please share the device and browser you are using so we can look into this for you? ^SB,True,True,message contains strong negative-sentiment language — routed to a human to de-escalate,0.4705882352941176,order_status_delivery,Thanks for reaching out — we're looking into this and will follow up with an update shortly.,False,trivial baseline never escalates,0.0,order_status_delivery,Sorry for the delay! Could you share your order ID so we can check the latest tracking status?,True,classifier confidence 0.43 below threshold 0.5,0.0,No - if I try to review it only has the stars but the review box doesn't appear at all. I know that other bloggers are having same issue.,5
